Sending Country,Receiving Country,Year,Value,Unit,Source,Region
Algeria,Senegal,2021,0.183414825,USD millions,BCEAO,Africa
Australia,Ethiopia,2020,13.59617511,USD millions,National Bank of Ethiopia,Africa
Australia,Kenya,2024,"184,497.099695719",USD millions,Central Bank of Kenya,Africa
Australia,Uganda,2022,22,USD millions,Bank of Uganda,Africa
Austria,Kenya,2024,"13,169.065145833",USD millions,Central Bank of Kenya,Africa
Bahamas,Kenya,2024,"1,453.632639905",USD millions,Central Bank of Kenya,Africa
Bahrain,Kenya,2024,"5,004.769090469",USD millions,Central Bank of Kenya,Africa
Bahrain,Morocco,2020,30.3408085,USD millions,Bank Al-Maghrib,Africa
Belgium,Kenya,2024,"22,844.654997935",USD millions,Central Bank of Kenya,Africa
Belgium,Morocco,2020,387.629403,USD millions,Bank Al-Maghrib,Africa
Belgium,Senegal,2021,88.247787762,USD millions,BCEAO,Africa
Benin,Senegal,2021,25.846190336,USD millions,BCEAO,Africa
Brazil,Senegal,2021,29.312422216,USD millions,BCEAO,Africa
Burkina Faso,Senegal,2021,35.216150094,USD millions,BCEAO,Africa
Cameroon,Senegal,2021,43.126214245,USD millions,BCEAO,Africa
Canada,Ethiopia,2020,33.89159808,USD millions,National Bank of Ethiopia,Africa
Canada,Kenya,2024,"130,812.76972775",USD millions,Central Bank of Kenya,Africa
Canada,Morocco,2020,99.802037,USD millions,Bank Al-Maghrib,Africa
Canada,Senegal,2021,2.866648143,USD millions,BCEAO,Africa
Canada,Uganda,2022,82.1,USD millions,Bank of Uganda,Africa
Central African Republic,Senegal,2021,11.097456712,USD millions,BCEAO,Africa
Chad,Senegal,2021,8.390086853,USD millions,BCEAO,Africa
China,Kenya,2024,"5,981.681937719",USD millions,Central Bank of Kenya,Africa
China,Senegal,2021,0.358772173,USD millions,BCEAO,Africa
China,Uganda,2022,7,USD millions,Bank of Uganda,Africa
"Congo, Dem. Rep.",Uganda,2022,21,USD millions,Bank of Uganda,Africa
"Congo, Rep.",Senegal,2021,61.407592705,USD millions,BCEAO,Africa
Côte d'Ivoire,Kenya,2024,"4,351.233359615",USD millions,Central Bank of Kenya,Africa
