0,1,2,3,4,5
Sending	country,Receive	country,2022.0,0.377893,USD	millions,Source
Denmark,Ecuador,2021.0,1.15053584,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.31848,USD	millions,Central	Bank	Data
,Panama,2022.0,0.230669853,USD	millions,INEC
Djibouti,Mexico,2022.0,0.000503,USD	millions,Central	Bank	Data
Dominica,Ecuador,2021.0,0.01993682,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.011373,USD	millions,Central	Bank	Data
,Panama,2022.0,0.096307644,USD	millions,INEC
Dominican	Republic,Colombia,2022.0,28.54240007,USD	millions,Central	Bank	Data
,Ecuador,2021.0,5.23839776,USD	millions,Central	Bank	Data
,Haiti,2019.0,67.948160177,USD	millions,Central	Bank	Data
,Mexico,2022.0,60.380278,USD	millions,Central	Bank	Data
,Panama,2022.0,4.327045551,USD	millions,INEC
Ecuador,Chile,2021.0,8.539673828,USD	millions,Central	Bank	Data
,Colombia,2022.0,244.241803388,USD	millions,Central	Bank	Data
,Mexico,2022.0,218.405967,USD	millions,Central	Bank	Data
,Panama,2022.0,9.276093832,USD	millions,INEC
Egypt,Ecuador,2021.0,0.31432188,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.069086,USD	millions,Central	Bank	Data
El	Salvador,Ecuador,2021.0,2.64085197,USD	millions,Central	Bank	Data
,Honduras,2022.0,1.93960663,USD	millions,Central	Bank	Data
,Mexico,2022.0,49.696868,USD	millions,Central	Bank	Data
,Panama,2022.0,2.713245005,USD	millions,INEC
El	salvador,Nicaragua,2022.0,7.4,USD	millions,Central	Bank	Data
Equatorial	Guinea,Ecuador,2021.0,0.1676052,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.018096,USD	millions,Central	Bank	Data
Estonia,Ecuador,2021.0,0.0339721,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.015299,USD	millions,Central	Bank	Data
,Panama,2022.0,0.007195295,USD	millions,INEC
Ethiopia,Ecuador,2021.0,0.00465,USD	millions,Central	Bank	Data
Fiji,Ecuador,2021.0,0.00076492,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.000673,USD	millions,Central	Bank	Data
,Panama,2022.0,0.013704658,USD	millions,INEC
Finland,Ecuador,2021.0,0.48335246,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.155682,USD	millions,Central	Bank	Data
France,Brazil,2022.0,163.9125814,USD	millions,Central	Bank	Data
,Chile,2021.0,5.938098411,USD	millions,Central	Bank	Data
,Colombia,2022.0,99.825825937,USD	millions,Central	Bank	Data
,Costa	Rica,2022.0,38.032310513,USD	millions,Central	Bank	Data
,Dominican	Republic,2022.0,38.032310513,USD	millions,Central	Bank	Data
,Ecuador,2021.0,42.7259938,USD	millions,Central	Bank	Data
,Haiti,2019.0,102.97823353,USD	millions,Central	Bank	Data
,Mexico,2022.0,31.680909,USD	millions,Central	Bank	Data
,Panama,2022.0,3.842911423,USD	millions,INEC
,Paraguay,2022.0,10.816578907,USD	millions,Central	Bank	Data
,Suriname,2022.0,12.240023521,USD	millions,Central	Bank	Data
French	Guiana,Ecuador,2021.0,0.08562073,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.046422,USD	millions,Central	Bank	Data
,Suriname,2022.0,1.281711937,USD	millions,Central	Bank	Data
Gabon,Ecuador,2021.0,0.06554742,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.022042,USD	millions,Central	Bank	Data
Gambia,Ecuador,2021.0,0.0362795,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.002043,USD	millions,Central	Bank	Data
Georgia,Ecuador,2021.0,0.06246092,USD	millions,Central	Bank	Data
,Panama,2022.0,0.042785842,USD	millions,INEC
Germany,Brazil,2022.0,165.88350396,USD	millions,Central	Bank	Data
,Colombia,2022.0,90.518242957,USD	millions,Central	Bank	Data
,Costa	Rica,2022.0,35.486304486,USD	millions,Central	Bank	Data
,Dominican	Republic,2022.0,35.486304486,USD	millions,Central	Bank	Data
,Ecuador,2021.0,43.63440476,USD	millions,Central	Bank	Data
,Jamaica,2022.0,3.153140938,USD	millions,Central	Bank	Data
,Mexico,2022.0,29.728509,USD	millions,Central	Bank	Data
,Panama,2022.0,1.814178686,USD	millions,INEC
,Paraguay,2022.0,4.595153403,USD	millions,Central	Bank	Data
Gibraltar,Panama,2022.0,0.012120878,USD	millions,INEC
Greece,Ecuador,2021.0,0.43122064,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.200955,USD	millions,Central	Bank	Data
,Panama,2022.0,0.178702057,USD	millions,INEC
Grenada,Ecuador,2021.0,0.05947455,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.01519,USD	millions,Central	Bank	Data
,Panama,2022.0,0.079877371,USD	millions,INEC
Guadeloupe,Mexico,2022.0,0.068793,USD	millions,Central	Bank	Data
Guam,Ecuador,2021.0,0.00350361,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.011432,USD	millions,Central	Bank	Data
Guatemala,Colombia,2022.0,23.717021117,USD	millions,Central	Bank	Data
,Ecuador,2021.0,3.7173961,USD	millions,Central	Bank	Data
,Honduras,2022.0,6.38110839,USD	millions,Central	Bank	Data
,Mexico,2022.0,49.974654,USD	millions,Central	Bank	Data
,Panama,2022.0,1.328253984,USD	millions,INEC
Guinea,Ecuador,2021.0,0.0317013,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.055853,USD	millions,Central	Bank	Data
Guinea-bissau,Ecuador,2021.0,0.00704176,USD	millions,Central	Bank	Data
Guinea-Bissau,Mexico,2022.0,0.004879,USD	millions,Central	Bank	Data
,Panama,2022.0,0.002533079,USD	millions,INEC
Guyana,Ecuador,2021.0,0.19945501,USD	millions,Central	Bank	Data
,Mexico,2022.0,0.027358,USD	millions,Central	Bank	Data
,Panama,2022.0,0.110945265,USD	millions,INEC
