CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
TOTAL	Total	Total	Insgesamt	Y			
UNI	Universe	Univers	Gesamtheit	Y			
SPL	Sample	Echantillon	Stichprobe	Y			
SRC	Survey data source	Source de données	Datenquelle der Umfrage	Y			
AVG	Average	Moyenne	Durchschnitt	Y			
AVG_3Y	Three-year average	Moyenne sur trois ans	Dreijahresdurchschnitt	Y			
AVG_30Y	Thirty-year average	Moyenne sur trente ans	30-Jahres-Durchschnitt	Y			
MMEAN	Measured mean	Moyenne mesurée	Gemessenes Mittel	Y			
CMEAN	Calculated mean	Moyen calculé	Berechnetes Mittel	Y			
MEAN_EI	Mean equivalised income	Revenu équivalent moyen	Durchschnittliches Äquivalenzeinkommen	Y			
MED_EI	Median equivalised income	Revenu équivalent médian	Medianes Äquivalenzeinkommen	Y			
MED_ECE	Median equivalised consumption expenditure	Dépenses de consommation équivalentes médianes	Mediane äquivalenzbezogene Konsumausgaben	Y			
MED	Median	Médiane	Median	Y			
SD	Standard deviation	Ecart-type	Standardabweichung	Y			
SE	Standard error	Erreur standard	Standardfehler	Y			
CV	Coefficient of variation	Coefficient de variation	Variationskoeffizient	Y			
CVA	Coefficient of variation for absolute value	Coefficient de variation de la valeur absolue	Variationskoeffizient für den absoluten Wert	Y			
CVR	Coefficient of variation for relative value	Coefficient de variation de la valeur relative	Variationskoeffizient für den relativen Wert	Y			
CV_PLI	Coefficient of variation of price level indices	Coefficient de variation des indices au niveau des prix	Variationskoeffizient der Preisniveauindizes	Y			
CV_VI_HAB	Coefficient of variation of volume indices of expenditure per capita	Coefficient de variation des indices de volume des dépenses par habitant	Variationskoeffizient der Volumenindizes der Pro-Kopf Ausgaben	Y			
CUM	Cumulative series	Séries cumulées	Kumulierte Reihen	Y			
VAL	Value	Valeur	Wert	Y			
VAL_A	Annual value	Valeur annuelle	Jährlicher Wert	Y			
RV	Relative value	Valeur relative	Relativer Wert	Y			
END	Value at the end of the period	Valeur en fin de période	Wert am Periodenende	Y			
MAX	Maximum value within period	Valeur maximale au cours de la période	Höchstwert in der Periode	Y			
MIN	Minimum value within period	Valeur minimale au cours de la période	Mindestwert in der Periode	Y			
DISP_NUTS2	Dispersion at NUTS level 2	Dispersion au niveau NUTS 2	Streuung auf Ebene NUTS 2	Y			
DISP_NUTS3	Dispersion at NUTS level 3	Dispersion au niveau NUTS 3	Streuung auf Ebene NUTS 3	Y			
SUM3Y	Sum of the last 3 years	Somme des 3 dernières années	Summe der letzten 3 Jahren	Y			
SUM4Y	Sum of the last 4 years	Somme des 4 dernières années	Summe der letzten 4 Jahren	Y			
SUM6Y	Sum of the last 6 years	Somme des 6 dernières années	Summe der letzten 6 Jahren	Y			
NSME	Unsmoothed estimate	Estimation non lissée	Nicht geglättete Schätzung	Y			
SME	Smoothed estimate	Estimation lissée	Geglättete Schätzung	Y			
SME_UP95	Smoothed estimate - upper boundary of the 95% confidence interval	Estimation lissée - limite supérieure de l'intervalle de confiance de 95%	Geglättete Schätzung - Obergrenze des 95%-Vertrauensintervalls	Y			
SME_LW95	Smoothed estimate - lower boundary of the 95% confidence interval	Estimation lissée - limite inférieure de l'intervalle de confiance de 95%	Geglättete Schätzung - Untergrenze des 95%-Vertrauensintervalls	Y			
UP95	Upper boundary of the 95% confidence interval	Limite supérieure de l'intervalle de confiance de 95%	Obergrenze des 95%-Vertrauensintervalls	Y			
LW95	Lower boundary of the 95% confidence interval	Limite inférieure de l'intervalle de confiance de 95%	Untergrenze des 95%-Vertrauensintervalls	Y			
STA	Status	Statut	Status	Y			
CR4	Concentration ratio (four largest entities)	Ratio de concentration (quatre plus grandes entités)	Konzentrationsverhältnis (die vier größten Einheiten)	Y			
WT	Weight	Pondération	Gewichte	Y			
