"Release Date","Topic","Reference Period","Release Type"
"2023-06-08","Effective exchange rates","2023-06-05","Nominal daily data"
"2023-06-15","Effective exchange rates","2023-06-12","Nominal daily data"
"2023-06-22","Effective exchange rates","2023-06-19","Nominal daily data"
"2023-06-29","Effective exchange rates","2023-06-26","Nominal daily data"
"2023-07-06","Effective exchange rates","2023-07-03","Nominal daily data"
"2023-07-13","Effective exchange rates","2023-07-10","Nominal daily data"
"2023-07-20","Effective exchange rates","2023-07-17","Nominal daily data"
"2023-07-27","Effective exchange rates","2023-07-24","Nominal daily data"
"2023-08-03","Effective exchange rates","2023-07-31","Nominal daily data"
"2023-08-10","Effective exchange rates","2023-08-07","Nominal daily data"
"2023-08-17","Effective exchange rates","2023-08-14","Nominal daily data"
"2023-08-24","Effective exchange rates","2023-08-21","Nominal daily data"
"2023-08-31","Effective exchange rates","2023-08-28","Nominal daily data"
"2023-09-07","Effective exchange rates","2023-09-04","Nominal daily data"
"2023-09-14","Effective exchange rates","2023-09-11","Nominal daily data"
"2023-09-21","Effective exchange rates","2023-09-18","Nominal daily data"
"2023-09-28","Effective exchange rates","2023-09-25","Nominal daily data"
"2023-10-05","Effective exchange rates","2023-10-02","Nominal daily data"
"2023-10-12","Effective exchange rates","2023-10-09","Nominal daily data"
"2023-10-19","Effective exchange rates","2023-10-16","Nominal daily data"
"2023-10-26","Effective exchange rates","2023-10-23","Nominal daily data"
"2023-11-02","Effective exchange rates","2023-10-30","Nominal daily data"
"2023-11-09","Effective exchange rates","2023-11-06","Nominal daily data"
"2023-11-16","Effective exchange rates","2023-11-13","Nominal daily data"
"2023-11-23","Effective exchange rates","2023-11-20","Nominal daily data"
"2023-11-30","Effective exchange rates","2023-11-27","Nominal daily data"
"2023-12-07","Effective exchange rates","2023-12-04","Nominal daily data"
"2023-12-14","Effective exchange rates","2023-12-11","Nominal daily data"
"2023-12-21","Effective exchange rates","2023-12-18","Nominal daily data"
"2024-01-04","Effective exchange rates","2024-01-01","Nominal daily data"
"2024-01-11","Effective exchange rates","2024-01-08","Nominal daily data"
"2024-01-18","Effective exchange rates","2024-01-15","Nominal daily data"
"2024-01-25","Effective exchange rates","2024-01-22","Nominal daily data"
"2024-02-01","Effective exchange rates","2024-01-29","Nominal daily data"
"2024-02-08","Effective exchange rates","2024-02-05","Nominal daily data"
"2024-02-15","Effective exchange rates","2024-02-12","Nominal daily data"
"2024-02-22","Effective exchange rates","2024-02-19","Nominal daily data"
"2024-02-29","Effective exchange rates","2024-02-26","Nominal daily data"
"2024-03-07","Effective exchange rates","2024-03-04","Nominal daily data"
