Sending country,Receive country,Date,Value,Unit,Source
Algeria,Senegal,2021,0.183414825,USD millions,Not found
Australia,Ethiopia,2020,13.59617511,USD millions,Not found
Austria,Kenya,2024,13169.065145833,USD millions,Not found
Bahamas,Kenya,2024,1453.632639905,USD millions,Not found
Bahrain,Kenya,2024,5004.769090469,USD millions,Not found
Belgium,Kenya,2024,22844.654997935,USD millions,Not found
Benin,Senegal,2021,25.846190336,USD millions,Not found
Brazil,Senegal,2021,29.312422216,USD millions,Not found
Burkina Faso,Senegal,2021,35.216150094,USD millions,Not found
Cameroon,Senegal,2021,43.126214245,USD millions,Not found
Canada,Ethiopia,2020,33.89159808,USD millions,Not found
Chad,Senegal,2021,8.390086853,USD millions,Not found
China,Kenya,2024,5981.681937719,USD millions,Not found
"Congo, Dem. Rep.",Uganda,2022,21.0,USD millions,Not found
"Congo, Rep.",Senegal,2021,61.407592705,USD millions,Not found
Côte d'Ivoire,Kenya,2024,4351.233359615,USD millions,Not found
Denmark,Morocco,2020,28.261131,USD millions,Not found
Djibouti,Ethiopia,2020,185.47649889,USD millions,Not found
Egypt,Kenya,2024,2710.849916951,USD millions,Not found
Equatorial Guinea,Senegal,2021,4.981180446,USD millions,Not found
France,Kenya,2024,25420.562300568,USD millions,Not found
Gabon,Senegal,2021,110.182458279,USD millions,Not found
Germany,Ethiopia,2020,61.4673327,USD millions,Not found
Greece,Senegal,2021,7.552688969,USD millions,Not found
Guinea-Bissau,Senegal,2021,20.567153363,USD millions,Not found
India,Kenya,2024,20594.869099147,USD millions,Not found
Iraq,Kenya,2024,18473.974825301,USD millions,Not found
Israel,Ethiopia,2020,16.12958144,USD millions,Not found
Italy,Ethiopia,2020,40.64448902,USD millions,Not found
Japan,Kenya,2024,6019.671359217,USD millions,Not found
Kenya,Uganda,2022,29.3,USD millions,Not found
Kuwait,Ethiopia,2020,13.69625133,USD millions,Not found
Lebanon,Ethiopia,2020,72.80490292,USD millions,Not found
Libya,Senegal,2021,8.0158e-05,USD millions,Not found
Luxembourg,Senegal,2021,10.453967042,USD millions,Not found
Malawi,Kenya,2024,2348.468507446,USD millions,Not found
Mali,Senegal,2021,59.378847294,USD millions,Not found
Mauritania,Senegal,2021,0.056017187,USD millions,Not found
Morocco,Senegal,2021,2.328185595,USD millions,Not found
Namibia,Kenya,2020,22.27557275,USD millions,Not found
New Zealand,Kenya,2024,2997.798884179,USD millions,Not found
