Sending country,Receive country,Date,Value,Unit,Source
Algeria,Senegal,2021,0.183414825,USD millions,Australia
2020,Kenya,2024,184497.099695719,USD millions,Uganda
22,Kenya,2024,13169.065145833,USD millions,Bahamas
2024,Kenya,2024,5004.769090469,USD millions,Morocco
30.3408085,Kenya,2024,22844.654997935,USD millions,Morocco
387.629403,Senegal,2021,88.247787762,USD millions,Benin
2021,Senegal,2021,29.312422216,USD millions,Burkina Faso
2021,Senegal,2021,43.126214245,USD millions,Canada
2020,Kenya,2024,130812.76972775,USD millions,Morocco
99.802037,Senegal,2021,2.866648143,USD millions,Uganda
82.1,Central African Republic Senegal,2021,11.097456712,USD millions,Chad
2021,Kenya,2024,5981.681937719,USD millions,Senegal
0.358772173,Uganda,2022,7.0,USD millions,"Congo, Dem. Rep."
2022,Senegal,2021,61.407592705,USD millions,Côte d'Ivoire
2024,Senegal,2021,89.989410749,USD millions,Denmark
2020,Senegal,2021,5.476232008,USD millions,Djibouti
2020,Kenya,2024,2710.849916951,USD millions,Equatorial Guinea
2021,Kenya,2024,25420.562300568,USD millions,Morocco
"2,740.1718325",Senegal,2021,1630.192958418,USD millions,Gabon
2021,Ethiopia,2020,61.4673327,USD millions,Kenya
"197,764.185703727",Morocco,2020,349.588167,USD millions,Senegal
81.314844041,Uganda,2022,27.9,USD millions,Greece
2021,Senegal,2021,20.567153363,USD millions,India
2024,Senegal,2021,0.067644659,USD millions,Iraq
2024,Ethiopia,2020,16.12958144,USD millions,Italy
2020,Kenya,2024,33857.169027017,USD millions,Morocco
696.568306,Senegal,2021,966.610341655,USD millions,Uganda
10.4,Kenya,2024,6019.671359217,USD millions,Uganda
10.7,Uganda,2022,29.3,USD millions,Kuwait
2020,Morocco,2020,107.6373625,USD millions,Lebanon
2020,Senegal,2021,8.0158e-05,USD millions,Luxembourg
2021,Kenya,2024,2348.468507446,USD millions,Mali
2021,Senegal,2021,0.056017187,USD millions,Morocco
2021,Kenya,2020,22.27557275,USD millions,Morocco
275.3155765,Kenya,2024,2997.798884179,USD millions,Niger
2021,Kenya,2024,7235.873538576,USD millions,Norway
2020,Kenya,2024,20219.725544913,USD millions,Morocco
28.665825,Senegal,2021,0.00103461,USD millions,Oman
2024,Morocco,2020,19.470278,USD millions,Uganda
8.7,Senegal,2021,28.855230561,USD millions,Qatar
2024,Morocco,2020,137.6072015,USD millions,Uganda
23,Ethiopia,2020,137.49327083,USD millions,Kenya
"404,105.02454433",Morocco,2020,532.442406,USD millions,Uganda
195.7,Uganda,2022,30.0,USD millions,BCEAO
g,Ethiopia,2020,67.93372415,USD millions,Kenya
"24,095.095706679",Senegal,2021,14.579840557,USD millions,Uganda
28.7,Ethiopia,2020,11.33937986,USD millions,Kenya
"5,789.706224355",Uganda,2022,113.3,USD millions,Spain
2020,Senegal,2021,682.891794356,USD millions,Sudan
2020,Uganda,2022,13.8,USD millions,Sweden
2020,Kenya,2024,18233.930534005,USD millions,Morocco
32.3417955,Senegal,2021,0.009709596,USD millions,Uganda
7.3,Kenya,2024,51518.222344458,USD millions,Morocco
119.474662,Kenya,2024,75845.29139099,USD millions,The Netherlands
2024,Senegal,2021,0.00064578,USD millions,Togo
2021,Senegal,2021,0.198476898,USD millions,Turkey
2022,Kenya,2024,64988.791356259,USD millions,United Arab Emirates
2020,Kenya,2024,137814.495861864,USD millions,Morocco
454.6849505,Senegal,2021,4.375840988,USD millions,Uganda
186.9,Ethiopia,2020,86.22223346,USD millions,Kenya
"358,836.441397577",Morocco,2020,204.8088885,USD millions,Senegal
61.392150749,Uganda,2022,136.6,USD millions,United States
2020,Kenya,2024,2637772.27432718,USD millions,Morocco
422.388121,Senegal,2021,479.69592728,USD millions,Uganda
184.5,Kenya,2024,8091.510769618,USD millions,National Bank of Ethiopia
