Sending country,Receive country,Date,Value,Unit,Source
Algeria,Senegal,2021,0.183414825,USD millions,Not specified
Australia,Ethiopia,2020,13.59617511,USD millions,Not specified
USD millions,Uganda,2022,22.0,USD millions,Not specified
Austria,Kenya,2024,13169.065145833,USD millions,Not specified
Bahamas,Kenya,2024,1453.632639905,USD millions,Not specified
Bahrain,Kenya,2024,5004.769090469,USD millions,Not specified
Belgium,Kenya,2024,22844.654997935,USD millions,Not specified
USD millions,Senegal,2021,88.247787762,USD millions,Not specified
Benin,Senegal,2021,25.846190336,USD millions,Not specified
Brazil,Senegal,2021,29.312422216,USD millions,Not specified
Burkina Faso,Senegal,2021,35.216150094,USD millions,Not specified
Cameroon,Senegal,2021,43.126214245,USD millions,Not specified
Canada,Ethiopia,2020,33.89159808,USD millions,Not specified
USD millions,Morocco,2020,99.802037,USD millions,Not specified
USD millions,Uganda,2022,82.1,USD millions,Not specified
Chad,Senegal,2021,8.390086853,USD millions,Not specified
China,Kenya,2024,5981.681937719,USD millions,Not specified
USD millions,Uganda,2022,7.0,USD millions,"Congo, Dem. Rep."
"Congo, Rep.",Senegal,2021,61.407592705,USD millions,Côte d'Ivoire
USD millions,Senegal,2021,89.989410749,USD millions,Not specified
Denmark,Morocco,2020,28.261131,USD millions,Not specified
Djibouti,Ethiopia,2020,185.47649889,USD millions,Not specified
Egypt,Kenya,2024,2710.849916951,USD millions,Not specified
Equatorial Guinea,Senegal,2021,4.981180446,USD millions,Not specified
France,Kenya,2024,25420.562300568,USD millions,Not specified
USD millions,Senegal,2021,1630.192958418,USD millions,Not specified
Gabon,Senegal,2021,110.182458279,USD millions,Not specified
Germany,Ethiopia,2020,61.4673327,USD millions,Not specified
USD millions,Morocco,2020,349.588167,USD millions,Not specified
USD millions,Uganda,2022,27.9,USD millions,Not specified
Greece,Senegal,2021,7.552688969,USD millions,Guinea-Bissau
India,Kenya,2024,20594.869099147,USD millions,Not specified
Iraq,Kenya,2024,18473.974825301,USD millions,Not specified
Israel,Ethiopia,2020,16.12958144,USD millions,Not specified
Italy,Ethiopia,2020,40.64448902,USD millions,Not specified
USD millions,Morocco,2020,696.568306,USD millions,Not specified
USD millions,Uganda,2022,10.4,USD millions,Not specified
Japan,Kenya,2024,6019.671359217,USD millions,Not specified
Kenya,Uganda,2022,29.3,USD millions,Not specified
Kuwait,Ethiopia,2020,13.69625133,USD millions,Not specified
Lebanon,Ethiopia,2020,72.80490292,USD millions,Not specified
Libya,Senegal,2021,8.0158e-05,USD millions,Not specified
Luxembourg,Senegal,2021,10.453967042,USD millions,Not specified
Malawi,Kenya,2024,2348.468507446,USD millions,Not specified
Mali,Senegal,2021,59.378847294,USD millions,Not specified
Mauritania,Senegal,2021,0.056017187,USD millions,Not specified
Morocco,Senegal,2021,2.328185595,USD millions,Not specified
Namibia,Kenya,2020,22.27557275,USD millions,Not specified
New Zealand,Kenya,2024,2997.798884179,USD millions,Not specified
Niger,Senegal,2021,13.518544121,USD millions,Not specified
Nigeria,Kenya,2024,7235.873538576,USD millions,Not specified
Norway,Ethiopia,2020,13.01269086,USD millions,Not specified
USD millions,Morocco,2020,28.665825,USD millions,Not specified
Oman,Kenya,2024,8642.361559321,USD millions,Not specified
USD millions,Uganda,2022,8.7,USD millions,Not specified
Portugal,Senegal,2021,28.855230561,USD millions,Not specified
Qatar,Kenya,2024,69232.138058795,USD millions,Not specified
USD millions,Uganda,2022,23.0,USD millions,Not specified
Saudi Arabia,Ethiopia,2020,137.49327083,USD millions,Not specified
USD millions,Morocco,2020,532.442406,USD millions,Not specified
Somalia,Uganda,2022,30.0,USD millions,BCEAO
South Africa,Ethiopia,2020,67.93372415,USD millions,Not specified
USD millions,Senegal,2021,14.579840557,USD millions,Not specified
South Sudan,Ethiopia,2020,11.33937986,USD millions,Not specified
USD millions,Uganda,2022,113.3,USD millions,Not specified
Spain,Morocco,2020,705.7301285,USD millions,Not specified
Sudan,Ethiopia,2020,1.89005089,USD millions,Not specified
Sweden,Ethiopia,2020,23.15221747,USD millions,Not specified
USD millions,Morocco,2020,32.3417955,USD millions,Not specified
USD millions,Uganda,2022,7.3,USD millions,Not specified
Switzerland,Kenya,2024,51518.222344458,USD millions,Not specified
Tanzania,Kenya,2024,75845.29139099,USD millions,Not specified
The Netherlands,Kenya,2024,31220.545359899,USD millions,Not specified
Togo,Senegal,2021,19.595612958,USD millions,Not specified
Tunisia,Senegal,2021,0.198476898,USD millions,Not specified
Turkey,Uganda,2022,25.4,USD millions,Not specified
Uganda,Kenya,2024,64988.791356259,USD millions,Not specified
United Arab Emirates,Ethiopia,2020,282.08303062,USD millions,Not specified
USD millions,Morocco,2020,454.6849505,USD millions,Not specified
USD millions,Uganda,2022,186.9,USD millions,Not specified
United Kingdom,Ethiopia,2020,86.22223346,USD millions,Not specified
USD millions,Morocco,2020,204.8088885,USD millions,Not specified
USD millions,Uganda,2022,136.6,USD millions,Not specified
United States,Ethiopia,2020,387.04401602,USD millions,Not specified
USD millions,Morocco,2020,422.388121,USD millions,Not specified
USD millions,Uganda,2022,184.5,USD millions,Not specified
Zambia,Kenya,2024,8091.510769618,USD millions,National Bank of Ethiopia
