wb,iso,country,year,month,compcr_usd,personalcr_usd,workcr_usd,period
BEN,638,Benin,2018,1,,16.431349,,2018-01-01
BEN,638,Benin,2018,2,,15.539294,,2018-02-01
BEN,638,Benin,2018,3,,17.380877,,2018-03-01
BEN,638,Benin,2018,4,,16.403784,,2018-04-01
BEN,638,Benin,2018,5,,15.513569,,2018-05-01
BEN,638,Benin,2018,6,,14.445704,,2018-06-01
BEN,638,Benin,2018,7,,14.506573,,2018-07-01
BEN,638,Benin,2018,8,,15.481194,,2018-08-01
BEN,638,Benin,2018,9,,15.262168,,2018-09-01
BEN,638,Benin,2018,10,,15.079047,,2018-10-01
BEN,638,Benin,2018,11,,16.049816,,2018-11-01
BEN,638,Benin,2018,12,,18.906664,,2018-12-01
BEN,638,Benin,2019,1,,17.785355,,2019-01-01
BEN,638,Benin,2019,2,,16.638485,,2019-02-01
BEN,638,Benin,2019,3,,17.88355,,2019-03-01
BEN,638,Benin,2019,4,,18.153706,,2019-04-01
BEN,638,Benin,2019,5,,17.582785,,2019-05-01
BEN,638,Benin,2019,6,,17.619547,,2019-06-01
BEN,638,Benin,2019,7,,17.745375,,2019-07-01
BEN,638,Benin,2019,8,,17.509691,,2019-08-01
BEN,638,Benin,2019,9,,17.142725,,2019-09-01
BEN,638,Benin,2019,10,,17.2219,,2019-10-01
BEN,638,Benin,2019,11,,19.606619,,2019-11-01
BEN,638,Benin,2019,12,,18.767036,,2019-12-01
BEN,638,Benin,2020,1,,17.827744,,2020-01-01
BEN,638,Benin,2020,2,,16.453333,,2020-02-01
BEN,638,Benin,2020,3,,18.053429,,2020-03-01
BEN,638,Benin,2020,4,,18.146854,,2020-04-01
BEN,638,Benin,2020,5,,17.823034,,2020-05-01
BEN,638,Benin,2020,6,,18.259026,,2020-06-01
BEN,638,Benin,2020,7,,18.858166,,2020-07-01
BEN,638,Benin,2020,8,,18.781939,,2020-08-01
BEN,638,Benin,2020,9,,18.266848,,2020-09-01
BEN,638,Benin,2020,10,,18.058855,,2020-10-01
BEN,638,Benin,2020,11,,19.450808,,2020-11-01
BEN,638,Benin,2020,12,,19.407906,,2020-12-01
BEN,638,Benin,2021,1,,,,2021-01-01
BEN,638,Benin,2021,2,,,,2021-02-01
BFA,748,Burkina Faso,2018,1,,35.00147,,2018-01-01
BFA,748,Burkina Faso,2018,2,,32.497925,,2018-02-01
BFA,748,Burkina Faso,2018,3,,32.93941,,2018-03-01
BFA,748,Burkina Faso,2018,4,,37.845673,,2018-04-01
BFA,748,Burkina Faso,2018,5,,37.427048,,2018-05-01
BFA,748,Burkina Faso,2018,6,,37.282166,,2018-06-01
BFA,748,Burkina Faso,2018,7,,37.957943,,2018-07-01
BFA,748,Burkina Faso,2018,8,,36.011868,,2018-08-01
BFA,748,Burkina Faso,2018,9,,27.726774,,2018-09-01
BFA,748,Burkina Faso,2018,10,,27.768347,,2018-10-01
BFA,748,Burkina Faso,2018,11,,28.57498,,2018-11-01
BFA,748,Burkina Faso,2018,12,,43.219448,,2018-12-01
BFA,748,Burkina Faso,2019,1,,39.239517,,2019-01-01
BFA,748,Burkina Faso,2019,2,,35.216827,,2019-02-01
BFA,748,Burkina Faso,2019,3,,34.386936,,2019-03-01
BFA,748,Burkina Faso,2019,4,,24.828566,,2019-04-01
BFA,748,Burkina Faso,2019,5,,28.452667,,2019-05-01
BFA,748,Burkina Faso,2019,6,,30.106804,,2019-06-01
BFA,748,Burkina Faso,2019,7,,36.219307,,2019-07-01
BFA,748,Burkina Faso,2019,8,,33.12814,,2019-08-01
BFA,748,Burkina Faso,2019,9,,38.17565,,2019-09-01
BFA,748,Burkina Faso,2019,10,,36.447212,,2019-10-01
BFA,748,Burkina Faso,2019,11,,35.91458,,2019-11-01
BFA,748,Burkina Faso,2019,12,,40.210964,,2019-12-01
BFA,748,Burkina Faso,2020,1,,28.329782,,2020-01-01
BFA,748,Burkina Faso,2020,2,,28.803722,,2020-02-01
BFA,748,Burkina Faso,2020,3,,28.926977,,2020-03-01
BFA,748,Burkina Faso,2020,4,,30.880617,,2020-04-01
BFA,748,Burkina Faso,2020,5,,34.88987,,2020-05-01
BFA,748,Burkina Faso,2020,6,,37.017334,,2020-06-01
BFA,748,Burkina Faso,2020,7,,39.107407,,2020-07-01
BFA,748,Burkina Faso,2020,8,,41.016968,,2020-08-01
BFA,748,Burkina Faso,2020,9,,39.11705,,2020-09-01
BFA,748,Burkina Faso,2020,10,,36.05309,,2020-10-01
BFA,748,Burkina Faso,2020,11,,35.319332,,2020-11-01
BFA,748,Burkina Faso,2020,12,,42.793495,,2020-12-01
BFA,748,Burkina Faso,2021,1,,,,2021-01-01
BFA,748,Burkina Faso,2021,2,,,,2021-02-01
CIV,662,Cote d'Ivoire,2018,1,,13.717898,,2018-01-01
CIV,662,Cote d'Ivoire,2018,2,,13.628648,,2018-02-01
CIV,662,Cote d'Ivoire,2018,3,,15.095899,,2018-03-01
CIV,662,Cote d'Ivoire,2018,4,,13.495458,,2018-04-01
CIV,662,Cote d'Ivoire,2018,5,,14.235027,,2018-05-01
CIV,662,Cote d'Ivoire,2018,6,,15.711529,,2018-06-01
CIV,662,Cote d'Ivoire,2018,7,,16.259546,,2018-07-01
CIV,662,Cote d'Ivoire,2018,8,,14.37728,,2018-08-01
CIV,662,Cote d'Ivoire,2018,9,,14.154874,,2018-09-01
CIV,662,Cote d'Ivoire,2018,10,,14.75166,,2018-10-01
CIV,662,Cote d'Ivoire,2018,11,,13.098743,,2018-11-01
CIV,662,Cote d'Ivoire,2018,12,,15.819189,,2018-12-01
CIV,662,Cote d'Ivoire,2019,1,,14.607348,,2019-01-01
CIV,662,Cote d'Ivoire,2019,2,,14.098152,,2019-02-01
CIV,662,Cote d'Ivoire,2019,3,,18.186808,,2019-03-01
CIV,662,Cote d'Ivoire,2019,4,,14.626102,,2019-04-01
CIV,662,Cote d'Ivoire,2019,5,,19.453257,,2019-05-01
CIV,662,Cote d'Ivoire,2019,6,,21.911665,,2019-06-01
CIV,662,Cote d'Ivoire,2019,7,,18.684292,,2019-07-01
CIV,662,Cote d'Ivoire,2019,8,,14.736433,,2019-08-01
CIV,662,Cote d'Ivoire,2019,9,,14.418408,,2019-09-01
CIV,662,Cote d'Ivoire,2019,10,,15.375194,,2019-10-01
CIV,662,Cote d'Ivoire,2019,11,,13.674766,,2019-11-01
CIV,662,Cote d'Ivoire,2019,12,,16.573002,,2019-12-01
CIV,662,Cote d'Ivoire,2020,1,,9.517155,,2020-01-01
CIV,662,Cote d'Ivoire,2020,2,,12.6363325,,2020-02-01
CIV,662,Cote d'Ivoire,2020,3,,11.678059,,2020-03-01
CIV,662,Cote d'Ivoire,2020,4,,12.939093,,2020-04-01
CIV,662,Cote d'Ivoire,2020,5,,17.324442,,2020-05-01
CIV,662,Cote d'Ivoire,2020,6,,20.38141,,2020-06-01
CIV,662,Cote d'Ivoire,2020,7,,22.543818,,2020-07-01
CIV,662,Cote d'Ivoire,2020,8,,20.522009,,2020-08-01
